Code,Type,Classification,Specialization
101Y00000X,Behavioral Health & Social Service Providers,Counselor,
101YA0400X,Behavioral Health & Social Service Providers,Counselor,Addiction (Substance Use Disorder)
103TH0004X,Behavioral Health & Social Service Providers,Psychologist,Health
103TH0100X,Behavioral Health & Social Service Providers,Psychologist,Health Service
104100000X,Behavioral Health & Social Service Providers,Social Worker,
1041S0200X,Behavioral Health & Social Service Providers,Social Worker,School
106H00000X,Behavioral Health & Social Service Providers,Marriage & Family Therapist,
111N00000X,Chiropractic Providers,Chiropractor,
111NX0800X,Chiropractic Providers,Chiropractor,Orthopedic
122300000X,Dental Providers,Dentist,
126900000X,Dental Providers,Dental Laboratory Technician,
132700000X,Dietary & Nutritional Service Providers,Dietary Manager,
133N00000X,Dietary & Nutritional Service Providers,Nutritionist,
133NN1002X,Dietary & Nutritional Service Providers,Nutritionist,"Nutrition, Education"
133V00000X,Dietary & Nutritional Service Providers,"Dietitian, Registered",
136A00000X,Dietary & Nutritional Service Providers,"Dietetic Technician, Registered",
146D00000X,Emergency Medical Service Providers,Personal Emergency Response Attendant,
146L00000X,Emergency Medical Service Providers,"Emergency Medical Technician, Paramedic",
207SG0205X,Allopathic & Osteopathic Physicians,Medical Genetics,Ph.D. Medical Genetics
207SM0001X,Allopathic & Osteopathic Physicians,Medical Genetics,Molecular Genetic Pathology
207T00000X,Allopathic & Osteopathic Physicians,Neurological Surgery,
207U00000X,Allopathic & Osteopathic Physicians,Nuclear Medicine,
207W00000X,Allopathic & Osteopathic Physicians,Ophthalmology,
207Y00000X,Allopathic & Osteopathic Physicians,Otolaryngology,
207ZB0001X,Allopathic & Osteopathic Physicians,Pathology,Blood Banking & Transfusion Medicine
207ZC0006X,Allopathic & Osteopathic Physicians,Pathology,Clinical Pathology
207ZC0500X,Allopathic & Osteopathic Physicians,Pathology,Cytopathology
207ZD0900X,Allopathic & Osteopathic Physicians,Pathology,Dermatopathology
211D00000X,Podiatric Medicine & Surgery Service Providers,"Assistant, Podiatric",
213E00000X,Podiatric Medicine & Surgery Service Providers,Podiatrist,
225XP0019X,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",Occupational Therapist,Physical Rehabilitation
225XP0200X,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",Occupational Therapist,Pediatrics
225XR0403X,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",Occupational Therapist,Driving and Community Mobility
231H00000X,"Speech, Language and Hearing Service Providers",Audiologist,
231HA2400X,"Speech, Language and Hearing Service Providers",Audiologist,Assistive Technology Practitioner
242T00000X,"Technologists, Technicians & Other Technical Service Providers",Perfusionist,
243U00000X,"Technologists, Technicians & Other Technical Service Providers",Radiology Practitioner Assistant,
247ZC0005X,"Technologists, Technicians & Other Technical Service Providers",Pathology,"Clinical Laboratory Director, Non-physician"
251300000X,Agencies,Local Education Agency (LEA),
261Q00000X,Ambulatory Health Care Facilities,Clinic/Center,
261QA0005X,Ambulatory Health Care Facilities,Clinic/Center,Ambulatory Family Planning Facility
273100000X,Hospital Units,Epilepsy Unit,
273R00000X,Hospital Units,Psychiatric Unit,
281P00000X,Hospitals,Chronic Disease Hospital,
281PC2000X,Hospitals,Chronic Disease Hospital,Children
291900000X,Laboratories,Military Clinical Medical Laboratory,
291U00000X,Laboratories,Clinical Medical Laboratory,
305S00000X,Managed Care Organizations,Point of Service,
310400000X,Nursing & Custodial Care Facilities,Assisted Living Facility,
3104A0625X,Nursing & Custodial Care Facilities,Assisted Living Facility,"Assisted Living, Mental Illness"
320600000X,Residential Treatment Facilities,"Residential Treatment Facility, Mental Retardation and/or Developmental Disabilities",
331L00000X,Suppliers,Blood Bank,
332000000X,Suppliers,Military/U.S. Coast Guard Pharmacy,
341600000X,Transportation Services,Ambulance,
363A00000X,Physician Assistants & Advanced Practice Nursing Providers,Physician Assistant,
372500000X,Nursing Service Related Providers,Chore Provider,
385HR2065X,Respite Care Facility,Respite Care,"Respite Care, Physical Disabilities, Child"
390200000X,"Student, Health Care",Student in an Organized Health Care Education/Training Program,
